alunoId,cursos
1735137,123055|123370|123661|123661|123611|123229|122877|920081|920081|10007|920086|124279
1735451,123055|124260|122060|123738|123868|124248|122112|123732|120550|124140|123927|124470|124454
1739070,123055|123433|124489|10006|123558|123056|123611|123580|920094|920080|123632|920090|920081|920092|124492|920086|123927|123944|123794
1741009,123
1746513,123055|123840|123661|123558|920094|124337|122060|920083|920084|920084|920100|123868|920085|920090|920081|920081|123621|920091|920091|920091|920092|920092|920092|920086|920086|123702|124183|124152|123741|124140|123927|123794|123794|120601
1747628,123055|920080|920089|920083|920084|920085|920090|920081|920091|920092|920086|920086|920087|920087|920088
1752874,123055|123558|123522|920094|122060|123235|920080|920082|10005|920081|123535|920091|920092|920086|124368|920088|123794|123794|120601
1774247,123055|120667|920083|920085|920081|920081|920092|920086
1789422,123055|123588|920080|920082|121579|122181|920084|920085|123434|920092|123517
1794734,123
1795883,123055|123558|920081|920081|920081|920092|920092|920086
865245,123055|124418|123758|123433|123558|920094|123279|123714|920089|920083|10005|920085|920090|920090|920090|123434|123434|124358|123547|920092|920092|123913|122912|920086|920086|123683
1032655,124743|124870
1183990,124743|120863
1808924,124743|124107|920094|920080|920082|124637|123880|124267
1813457,124743|124328|124120|124141|123735|920094|124156|124561|920080|920089|920089|920082|920083|10005|920084|920085|920090|920081|123928|920091|920092|920086|123487|124140|920087|920088
1828496,124743|920094|920089|920082
941510,124743|920091
1154725,125
1274842,124605|124682
1746960,124605|124422|124761|920094|920081|920092|920086|124379|920087|920088|123794|124334
1752937,125
1782296,124605|920083|920085|920085|920081|920081|10008|10008|920091|920092|920086
1795990,124605|920082|10005|920081|920091|920092|920086
1816943,124605|124263|920094|124295|920103|920082|920083|124180|920085|920090|920081|920091|920092|124248|920086|124183|124148|920087|124154|920088
1284377,124727|123878|124725|10006|123410|121569|124714|122933|124511|124511|124755|123171|123171|123171|123279|122060|123235|10004|120667|123065|122181|122181|920084|122094|920090|123053|920081|123535|123547|123506|124125|124125|120018|120292|122291|122912|124492|124392|123453|121917|124585|123579|123556|124767|124198|920087|920087|124155|123794|123507|123447
1277593,123878|123628|123413|123758|123594|123561|122006|123611|124065|123116|124168|123807|11119|920113|124167|920089|920083|10005|920084|123868|123860|124623|920085|123584|121715|920081|10007|120018|120292|123916|123514|121440|124183|123828|123556|124169|920115|920087|123787|123892|123869|920088|122050|123827|123447
1703187,123878|920094|920080|920083|920084|920081|920087
1727731,123878|123413|124328|920094|920094|123115|123115|10004|121579|122760|122094|920090|10008|920091|123260|124567
1735837,123878|920094|920080|920080|920089|920082|920083|920083|920084|920085|920085|920090|920081|920091|920092|920086|920087|920087|920088
1738387,123878|920080|920089|920084|920091|123897
1762839,124
1778873,123878|123413|123750|920095|123738|920083|920084|920081|123881|920091|121439|920087
1794754,123878|124320|123321|123780|10005|920084|123868|123063|920081|920081|920081|920101|920091|123927|123787|123892|123869|123827|123920|120601
1804371,123878|124401|123628|123757|124418|920094|920103|124579|920089|920084|123868|920085|920091|120808|124490|920087|920088|124572
1812229,124
518950,123878|123716|123589|123780|920094|920080|920089|920082|124621|920083|920084|920085|920090|920081|123881|920091|920092|920092|920086|920086|124655|123448|920087|124633|123794
1284396,123910|123901|124640
1730289,123910|123413|123433|123750|920080|920082|123610|920081|123881|920092|920086|123927
1742191,123910|10006|920095|920094|920080|920083|10005|920084|123868|920081|920092|920086|120550|123927|920087|920088
1713555,124463|124065|124714|122060|920080|124270|124451|121715|920081|124603|920091|122190|123920
1728580,124463|10006|124510|124460|920083|124565|124558|123828|123487|123787
1752355,124463|124418|124460|124714|11119|124412|920080|123684|920089|920089|920089|920082|123681|123065|122877|124094|123182|124659|123802|123428|123798|124623|920085|920085|123584|920090|123053|124702|124603|124358|10008|123881|920091|920092|920092|124183|124519|920087|123787|123465|123869|124559|124813
1022094,124616|124616|123561|920094|920094|920089|920089|920089|920089|920089|920082|920082|920083|920083|920084|920085|920085|920090|920090|920090|920081|920081|920091|920087|920087|920088|122876
1780407,124616|123661|123611|124249|124168|124260|124167|920083|123065|124179|123574|920081
1788973,124616|920085|920081|920092|920092|124839|123794
1824962,124616|920083|124814
1710422,124320|123321|123892
1710429,124320|123700|123700|124270|920081|920091
1721531,124320|123700|124183
1731470,124320|124401|123757|123757|123700|123321|123321|124416|123377|123738|123738|124565|123802|123802|123798|123798|124403|123584|920081|124758|124183|124808|123556|123892|123892|123385
1752906,124320|124318|123321|920089|10004|920083|124000|920100|124259|124099|920085|920081|920081|124183|123617
1760980,124320|123700|920084|920081|920081|920091
1763597,124320|123700|920081|920081
1769860,124320|123321|124341|123666|920080|920084|920081|920091|124492|123453
1779525,124320|123700|123700|123750|124511|123235|124259|121715|920091|920091|124546|124354|124193|920087
1812011,124320|920081
898720,1243
1240374,124887|920091
1269476,124887|122180
1711896,124887|124212|124263|124416|123807|124170|122060|123719|123814|920080|124167|920089|920083|123231|124180|124241|920085|920090|920081|920091|920092|124248|121439|121439|123438|920087|920087|920088|123920|124679
1729321,124887|920095
1747781,124887|124613|121716|124484|920081|920091
1761844,125
1092928,125
